market_def_id,sku_id
900,5000
901,5001
902,5002
903,5003
904,5004
900,5005
901,5006
902,5007
903,5008
904,5009
900,5010
901,5011
902,5012
903,5013
904,5014
900,5015
901,5016
902,5017
903,5018
904,5019
900,5020
901,5021
902,5022
903,5023
904,5024
900,5025
901,5026
902,5027
903,5028
904,5029
900,5030
901,5031
902,5032
903,5033
904,5034
900,5035
901,5036
902,5037
903,5038
904,5039
900,5040
901,5041
902,5042
903,5043
904,5044
900,5045
901,5046
902,5047
903,5048
904,5049
900,5050
901,5051
902,5052
903,5053
904,5054
900,5055
901,5056
902,5057
903,5058
904,5059
900,5060
901,5061
902,5062
903,5063
904,5064
900,5065
901,5066
902,5067
903,5068
904,5069
900,5070
901,5071
902,5072
903,5073
904,5074
900,5075
901,5076
902,5077
903,5078
904,5079
900,5080
901,5081
902,5082
903,5083
904,5084
900,5085
901,5086
902,5087
903,5088
904,5089
900,5090
901,5091
902,5092
903,5093
904,5094
900,5095
901,5096
902,5097
903,5098
904,5099
